C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 0.00                 1.00                1.00	 0.00                 1.67                1.00	 0.00                 1.00                1.26	TcIL3000.A.H_000577800.1  Trypanosomal VSG domain containing protein, putative
 0.67                 0.33                0.39	 5.33                 1.25                2.00	 2.67                 1.60                1.00	TcIL3000.A.H_000577900.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                0.60	TcIL3000.A.H_000578000.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.67                1.00	 0.00                 0.81                0.80	 0.67                 0.60                3.00	TcIL3000.A.H_000578100.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.67                1.00	 0.00                 0.60                1.67	 0.00                 0.60                1.00	TcIL3000.A.H_000578200.1  hypothetical protein, conserved
 0.67                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.67                1.00	TcIL3000.A.H_000578300.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.00                1.00	 0.00                 1.67                0.60	 0.00                 0.75                1.00	TcIL3000.A.H_000578400.1  expression site-associated gene (ESAG) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 0.75                1.00	TcIL3000.A.H_000578500.1  expression site-associated gene (ESAG) protein, putative
 2.00                 0.43                0.43	 4.67                 0.73                1.33	 2.00                 1.67                2.33	TcIL3000.A.H_000578600.1  Trypanosomal VSG domain containing protein, putative
 0.67                 1.00                1.00	 2.67                 1.00                1.40	 2.00                 1.00                1.86	TcIL3000.A.H_000578700.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 2.33                1.80	 0.00                 1.00                0.60	TcIL3000.A.H_000578800.1  variant surface glycoprotein (VSG, atypical), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000578900.1  Endonuclease-reverse transcriptase, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000579000.1  Endonuclease-reverse transcriptase, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000579100.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000579200.1  hypothetical protein, conserved
 0.67                 1.00                1.67	 0.00                 2.00                3.00	 0.00                 1.67                2.20	TcIL3000.A.H_000579300.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.33                0.60	 0.00                 1.00                1.00	TcIL3000.A.H_000579400.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 0.33                 1.00                1.00	TcIL3000.A.H_000579500.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 1.00                 0.72                1.22	 1.33                 0.43                2.33	TcIL3000.A.H_000579600.1  variant surface glycoprotein (VSG, atypical), putative
 4.33                 1.14                1.04	11.33                 1.46                1.13	 8.67                 1.12                1.62	TcIL3000.A.H_000579700.1  Invariant surface glycoprotein, putative
 0.67                 0.60                1.80	 0.00                 1.67                2.33	 0.00                 0.37                1.00	TcIL3000.A.H_000579800.1  Retrotransposon hot spot protein, putative
 0.67                 1.33                1.33	 0.00                 0.50                1.00	 1.33                 0.56                1.67	TcIL3000.A.H_000579900.1  Retrotransposon hot spot protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.67	 0.00                 0.60                1.00	TcIL3000.A.H_000580000.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.67	TcIL3000.A.H_000580100.1  Endonuclease-reverse transcriptase, putative
 8.00                 1.14                0.92	 8.67                 1.00                0.60	11.33                 1.13                2.75	TcIL3000.A.H_000580200.1  hypothetical protein, conserved
11.00                 2.00                0.89	 6.00                 0.47                1.14	 8.67                 0.81                1.33	TcIL3000.A.H_000580300.1  hypothetical protein, conserved
26.00                 0.97                0.96	19.33                 1.33                1.11	17.33                 0.88                1.69	TcIL3000.A.H_000580400.1  hypothetical protein, conserved
 7.00                 0.29                1.50	 3.00                 0.96                1.38	 7.33                 1.10                1.26	TcIL3000.A.H_000580500.1  hypothetical protein, conserved
10.00                 1.48                1.00	13.33                 1.39                1.00	 9.33                 1.15                1.87	TcIL3000.A.H_000580600.1  UTP15 C terminal, putative
66.33                 0.98                0.91	56.67                 1.04                1.36	71.00                 0.87                1.40	TcIL3000.A.H_000580700.1  peroxidoxin
 6.00                 0.64                0.43	 9.33                 0.71                2.29	 7.33                 0.86                0.96	TcIL3000.A.H_000580800.1  cyclophilin, putative
 4.00                 0.43                1.00	 3.67                 1.09                2.26	 2.67                 2.50                1.00	TcIL3000.A.H_000580900.1  hypothetical protein, conserved
 8.00                 0.66                1.12	 9.00                 0.92                1.57	 6.33                 1.05                0.54	TcIL3000.A.H_000581000.1  agmatinase, putative
45.67                 0.77                0.96	32.00                 0.91                1.41	47.00                 0.95                1.36	TcIL3000.A.H_000581100.1  hypothetical protein, conserved
 4.00                 0.79                1.60	 3.00                 0.69                1.20	 4.67                 0.81                1.40	TcIL3000.A.H_000581200.1  Domain of unknown function (DUF1767), putative
14.67                 0.79                0.84	15.67                 1.62                0.67	13.33                 0.94                2.06	TcIL3000.A.H_000581300.1  GDP-mannose pyrophosphorylase
31.00                 1.26                1.03	33.33                 0.94                1.01	29.33                 0.81                1.37	TcIL3000.A.H_000581400.1  Concanavalin A-like lectin/glucanases superfamily/Beige/BEACH domain containing protein, putative
 3.33                 1.00                2.33	 1.33                 0.64                0.67	 3.00                 0.85                1.44	TcIL3000.A.H_000581500.1  cyclophilin type peptidyl-prolyl cis-trans isomerase, putative
17.33                 1.59                1.21	25.00                 1.04                1.13	19.00                 1.41                1.66	TcIL3000.A.H_000581600.1  vacuolar ATP synthase 16 kDa proteolipid subunit, putative
 9.33                 1.59                0.55	 7.33                 0.71                1.35	 9.67                 0.85                2.07	TcIL3000.A.H_000581700.1  Alpha/beta hydrolase family, putative
 4.33                 1.05                1.38	 5.67                 0.95                2.40	 9.00                 0.56                1.40	TcIL3000.A.H_000581800.1  Leucine Rich repeat, putative
 6.00                 1.60                1.00	 4.67                 0.68                0.61	 8.67                 1.18                1.67	TcIL3000.A.H_000581900.1  cyclic nucleotide-binding domain containing protein, putative
 6.33                 0.95                0.96	 6.67                 0.82                3.60	 2.00                 1.00                1.15	TcIL3000.A.H_000582000.1  hypothetical protein, conserved
 1.67                 0.56                0.52	 2.67                 1.58                1.06	 4.67                 0.71                1.00	TcIL3000.A.H_000582100.1  hypothetical protein, conserved
10.00                 1.24                0.79	21.67                 1.67                0.95	14.00                 1.22                1.69	TcIL3000.A.H_000582200.1  multidrug resistance protein A
 4.00                 1.71                0.95	 6.00                 1.93                2.50	 5.00                 0.76                1.50	TcIL3000.A.H_000582300.1  hypothetical protein, conserved
12.67                 0.93                0.74	 9.00                 1.79                1.66	11.33                 0.90                0.69	TcIL3000.A.H_000582400.1  terbinafine resistance locus protein (yip1), putative
 4.67                 1.67                0.62	 5.33                 1.89                1.23	 4.67                 1.00                1.50	TcIL3000.A.H_000582500.1  pteridine reductase
 6.67                 2.06                0.64	13.33                 0.56                1.10	 7.33                 1.57                1.06	TcIL3000.A.H_000582600.1  hypothetical protein, conserved
10.67                 0.91                2.81	 8.00                 0.48                0.45	13.00                 0.89                1.88	TcIL3000.A.H_000582700.1  Checkpoint protein HUS1, putative
 3.33                 1.27                1.10	 4.00                 0.52                1.13	 6.67                 0.79                1.42	TcIL3000.A.H_000582800.1  Tryptophanyl-tRNA synthetase 2
 9.67                 0.91                0.66	14.33                 1.49                1.21	14.33                 1.43                1.60	TcIL3000.A.H_000582900.1  Fungal tRNA ligase phosphodiesterase domain containing protein, putative
29.33                 1.42                1.22	40.33                 0.91                1.21	23.67                 1.10                1.15	TcIL3000.A.H_000583000.1  Fungal tRNA ligase phosphodiesterase domain containing protein, putative
 6.00                 0.46                0.73	 6.33                 1.80                1.00	 2.33                 1.50                2.08	TcIL3000.A.H_000583100.1  hypothetical protein, conserved
 5.33                 0.87                0.48	 7.33                 0.78                1.06	 7.00                 0.65                1.69	TcIL3000.A.H_000583200.1  hypothetical protein, conserved
20.00                 0.76                0.75	17.67                 1.00                1.05	14.33                 1.20                1.36	TcIL3000.A.H_000583300.1  (H+)-ATPase G subunit, putative
 4.00                 1.53                2.40	 5.67                 0.80                1.71	 3.33                 0.85                1.31	TcIL3000.A.H_000583400.1  hypothetical protein
 7.00                 0.55                1.30	 7.67                 0.47                0.77	 3.67                 1.88                1.77	TcIL3000.A.H_000583500.1  hypothetical protein, conserved
 3.33                 1.17                1.62	 2.00                 2.15                0.88	 0.67                 0.89                1.29	TcIL3000.A.H_000583600.1  hypothetical protein, conserved
 4.67                 0.74                0.91	10.00                 1.07                0.71	 9.33                 1.68                1.87	TcIL3000.A.H_000583700.1  dicer-like protein
23.33                 1.44                0.75	31.33                 1.01                0.93	27.33                 0.98                1.30	TcIL3000.A.H_000583800.1  ABC transporter, putative
12.00                 1.03                0.93	17.00                 0.60                1.13	16.00                 0.57                1.03	TcIL3000.A.H_000583900.1  hypothetical protein, conserved
 2.00                 1.27                0.63	 2.67                 2.86                1.18	 3.67                 1.40                0.77	TcIL3000.A.H_000584000.1  hypothetical protein, conserved
 2.33                 1.44                0.74	 1.00                 0.73                1.15	 5.33                 1.35                0.82	TcIL3000.A.H_000584100.1  hypothetical protein, conserved
 1.67                 1.00                1.17	 2.67                 0.71                0.50	 5.00                 3.59                1.72	TcIL3000.A.H_000584200.1  amidase, putative
 4.00                 0.90                1.17	 2.00                 0.45                0.56	 5.00                 0.43                0.63	TcIL3000.A.H_000584300.1  hypothetical protein, conserved
12.67                 1.40                0.89	10.67                 1.00                0.80	10.33                 0.46                2.37	TcIL3000.A.H_000584400.1  hypothetical protein, conserved
 5.00                 1.00                0.58	 3.33                 1.47                2.00	 3.33                 1.11                1.13	TcIL3000.A.H_000584500.1  hypothetical protein, conserved
 4.00                 0.87                1.00	 7.00                 0.85                0.93	 9.67                 0.80                1.42	TcIL3000.A.H_000584600.1  SNF1-related protein kinase regulatory subunit beta
 8.67                 0.98                1.00	12.33                 1.14                1.46	 9.33                 0.78                1.12	TcIL3000.A.H_000584700.1  hypothetical protein, conserved
 4.67                 1.56                0.71	 6.33                 0.90                1.57	 3.33                 0.74                0.90	TcIL3000.A.H_000584800.1  hypothetical protein, conserved
 1.33                 0.55                3.12	 1.67                 0.48                1.20	 3.33                 0.93                1.12	TcIL3000.A.H_000584900.1  3-oxo-5-alpha-steroid 4-dehydrogenase-like, putative
 2.67                 1.67                1.07	 2.67                 1.00                1.40	 2.33                 0.87                0.75	TcIL3000.A.H_000585000.1  SET domain containing protein, putative
 6.00                 0.65                1.40	 7.00                 0.83                1.21	 6.00                 1.04                1.53	TcIL3000.A.H_000585100.1  ribosomal RNA methyltransferase, putative
 8.33                 0.97                2.26	 8.67                 1.17                1.00	 9.67                 0.49                1.94	TcIL3000.A.H_000585200.1  hypothetical protein, conserved
11.33                 1.02                1.17	14.00                 0.89                0.58	10.33                 0.80                0.85	TcIL3000.A.H_000585300.1  acetyl-CoA synthetase, putative
 6.67                 1.09                1.12	 4.67                 0.56                1.10	 7.33                 1.09                2.00	TcIL3000.A.H_000585400.1  Cytochrome C oxidase copper chaperone (COX17), putative
13.67                 1.04                1.30	15.00                 0.88                0.94	 9.67                 1.02                1.31	TcIL3000.A.H_000585500.1  3-ketoacyl-CoA thiolase, putative
 5.33                 1.33                1.15	12.67                 0.86                0.97	13.33                 0.75                1.53	TcIL3000.A.H_000585600.1  mitochondrial DNA primase
 9.33                 1.47                1.14	 9.00                 1.04                0.77	 2.33                 0.70                1.50	TcIL3000.A.H_000585700.1  spliceosomal U5 snRNP-specific protein, putative
 7.67                 1.38                1.24	14.33                 1.61                1.08	12.00                 0.77                1.91	TcIL3000.A.H_000585800.1  hypothetical protein, conserved
 8.67                 0.58                0.82	 9.67                 1.28                1.05	 7.00                 0.84                1.34	TcIL3000.A.H_000585900.1  exocyst complex component Sec10, putative
 7.67                 0.89                0.72	11.67                 1.19                1.67	 4.00                 0.81                1.48	TcIL3000.A.H_000586000.1  hypothetical protein, conserved
 8.67                 1.95                1.00	11.33                 1.77                1.03	10.67                 0.56                1.58	TcIL3000.A.H_000586100.1  WD domain, G-beta repeat/BING4CT (NUC141) domain containing protein, putative
12.33                 2.14                1.54	10.67                 1.24                1.47	15.67                 1.23                1.07	TcIL3000.A.H_000586200.1  5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase, putative
11.00                 2.17                1.12	10.00                 0.79                2.24	13.33                 0.80                2.62	TcIL3000.A.H_000586300.1  hypothetical protein
 9.67                 1.59                1.02	13.33                 1.05                1.11	19.67                 0.52                1.88	TcIL3000.A.H_000586400.1  hypothetical protein, conserved
16.00                 1.07                1.26	17.33                 0.98                0.74	15.00                 0.98                1.13	TcIL3000.A.H_000586500.1  kinesin, putative
23.00                 1.45                0.69	39.67                 0.70                0.95	31.33                 0.74                1.32	TcIL3000.A.H_000586600.1  ubiquitin-activating enzyme E1, putative
 7.33                 1.20                0.77	 7.33                 1.04                2.54	 4.67                 0.63                0.45	TcIL3000.A.H_000586700.1  metallo-beta-lactamase-like protein, putative
 9.33                 1.36                0.65	10.67                 0.78                0.70	 6.00                 0.74                1.61	TcIL3000.A.H_000586800.1  kelch motif containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000586900:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000587000:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000587100:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000587200:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.33                1.00	TcIL3000.A.H_000587300.1  hypothetical protein
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.67	TcIL3000.A.H_000587400:tRNA unspecified product
 0.00                 1.00                0.75	 0.33                 1.00                1.67	 0.00                 1.00                1.00	TcIL3000.A.H_000587500:tRNA unspecified product
 0.00                 1.00                0.60	 0.33                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000587600:tRNA unspecified product
 0.00                 1.00                1.00	 0.33                 0.75                1.33	 0.00                 1.00                1.00	TcIL3000.A.H_000587700:tRNA unspecified product
19.33                 1.01                0.84	18.33                 0.89                1.27	12.00                 1.04                1.30	TcIL3000.A.H_000587800.1  Poly(A)-specific ribonuclease PARN-1
 4.67                 1.00                0.73	 9.00                 1.86                0.84	 6.33                 1.12                2.23	TcIL3000.A.H_000587900.1  hypothetical protein, conserved
 2.00                 0.72                1.50	 1.00                 1.10                3.33	 3.33                 1.83                2.20	TcIL3000.A.H_000588000.1  hypothetical protein, conserved
52.33                 1.26                1.08	49.33                 0.82                0.73	39.67                 1.10                1.33	TcIL3000.A.H_000588100.1  hypothetical protein, conserved
10.00                 0.54                0.88	 8.33                 0.96                1.06	12.00                 1.00                1.61	TcIL3000.A.H_000588200.1  exoribonuclease 2, putative
 7.33                 0.95                0.96	 5.00                 0.81                1.11	 3.33                 0.94                2.56	TcIL3000.A.H_000588300.1  EF-hand domain pair/EF-hand domain/EF hand, putative
 2.33                 3.00                1.20	 1.00                 0.80                0.50	 1.33                 1.26                1.15	TcIL3000.A.H_000588400.1  RNA-binding protein RBP10, putative
 7.67                 1.70                1.18	10.67                 1.15                0.84	12.67                 1.02                1.81	TcIL3000.A.H_000588500.1  inositol 1,4,5-trisphosphate receptor
 8.00                 0.87                0.58	 5.00                 0.61                0.86	10.33                 1.29                1.30	TcIL3000.A.H_000588600.1  50S ribosome-binding GTPase, putative
 6.33                 0.62                1.00	 9.00                 0.58                1.46	 6.33                 0.43                1.40	TcIL3000.A.H_000588700.1  hypothetical protein, conserved
 4.33                 0.49                2.32	 8.67                 1.23                1.16	 5.33                 0.85                1.76	TcIL3000.A.H_000588800.1  mitochondrial RNA binding protein
 8.67                 0.94                0.68	11.33                 0.59                1.26	13.67                 1.30                1.10	TcIL3000.A.H_000588900.1  hypothetical protein, conserved
 9.33                 1.38                0.48	21.33                 0.54                1.55	12.00                 1.46                1.83	TcIL3000.A.H_000589000.1  Putative serine esterase (DUF676), putative
 9.67                 1.23                1.80	10.33                 0.81                1.07	11.67                 0.98                0.57	TcIL3000.A.H_000589100.1  SET domain containing protein, putative
 7.67                 0.72                1.19	 5.67                 1.06                1.71	 5.33                 2.25                3.86	TcIL3000.A.H_000589200.1  hypothetical protein, conserved
10.00                 1.19                1.53	 6.00                 1.12                1.37	 5.00                 0.57                3.18	TcIL3000.A.H_000589300.1  SET domain containing protein, putative
 5.00                 0.36                1.00	 7.67                 0.77                0.59	 6.67                 2.07                0.87	TcIL3000.A.H_000589400.1  hypothetical protein, conserved
 4.00                 0.82                0.73	11.33                 0.81                1.00	 4.67                 1.55                1.15	TcIL3000.A.H_000589500.1  Putative S-adenosyl-L-methionine-dependent methyltransferase, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000589600:tRNA unspecified product
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000589700:tRNA unspecified product
24.00                 0.66                1.12	17.33                 1.08                1.25	25.33                 0.80                1.33	TcIL3000.A.H_000589800.1  hypothetical protein, conserved
24.67                 0.97                0.81	31.67                 0.76                1.06	29.67                 1.20                1.54	TcIL3000.A.H_000589900.1  conserved protein
 1.67                 1.19                1.40	 5.33                 0.39                0.52	 9.00                 1.00                2.22	TcIL3000.A.H_000590000.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000590100.1  hypothetical protein, conserved
 3.33                 0.73                0.48	 5.67                 1.39                1.27	 2.67                 2.87                0.32	TcIL3000.A.H_000590200.1  hypothetical protein, conserved
12.00                 1.71                0.73	 8.67                 1.24                1.17	10.67                 1.96                2.00	TcIL3000.A.H_000590300.1  Glycosyl hydrolase family 47, putative
14.67                 0.88                0.96	16.67                 0.84                1.22	16.00                 0.87                0.84	TcIL3000.A.H_000590400.1  mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, putative
24.00                 1.05                0.99	22.67                 1.05                1.58	25.67                 0.80                1.49	TcIL3000.A.H_000590500.1  mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, putative
22.33                 1.02                0.53	20.33                 0.94                0.98	14.67                 0.87                1.14	TcIL3000.A.H_000590600.1  mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, putative
 6.67                 0.93                0.76	 4.00                 0.72                2.00	 6.67                 0.76                2.54	TcIL3000.A.H_000590700.1  hypothetical protein, conserved
 8.67                 1.26                0.57	 5.00                 1.41                0.89	 6.67                 0.76                0.94	TcIL3000.A.H_000590800.1  Probable methyltransferase BTM2 homolog
 7.33                 1.19                1.20	11.33                 1.17                2.06	 9.67                 0.96                1.29	TcIL3000.A.H_000590900.1  hypothetical protein, conserved
 6.67                 3.33                0.79	 7.67                 0.67                0.78	 6.00                 0.88                0.65	TcIL3000.A.H_000591000.1  Bis(5prime-adenosyl)-triphosphatase, putative
 2.33                 0.79                0.92	 5.00                 1.38                1.42	 4.33                 1.25                2.15	TcIL3000.A.H_000591100.1  5-formyltetrahydrofolate cyclo-ligase family, putative
 3.67                 0.91                0.72	 6.00                 0.92                0.70	 1.67                 0.86                1.69	TcIL3000.A.H_000591200.1  hypothetical protein, conserved
 0.67                 2.11                0.96	 9.67                 1.00                1.25	 5.00                 1.15                1.40	TcIL3000.A.H_000591300.1  bilobe protein, conserved
 3.33                 1.67                2.90	 3.33                 0.71                1.08	 4.67                 1.95                2.63	TcIL3000.A.H_000591400.1  hypothetical protein, conserved
 4.00                 0.69                2.00	 4.33                 0.62                1.06	 4.33                 0.67                1.33	TcIL3000.A.H_000591500.1  hypothetical protein, conserved
 4.00                 1.33                1.00	 3.67                 0.36                1.06	 3.67                 0.80                0.84	TcIL3000.A.H_000591600.1  Chitobiase/beta-hexosaminidase C-terminal domain containing protein, putative
 7.00                 1.17                0.84	12.00                 0.91                0.72	 7.00                 1.00                2.61	TcIL3000.A.H_000591700.1  cytosolic leucyl aminopeptidase, putative
 7.00                 0.76                0.73	 2.67                 1.25                0.93	 1.33                 0.87                1.08	TcIL3000.A.H_000591800.1  hypothetical protein, conserved
 0.00                 1.20                0.50	 2.00                 1.20                0.78	 0.33                 1.26                1.00	TcIL3000.A.H_000591900.1  hypothetical protein
 5.67                 0.90                1.27	 5.33                 1.07                2.00	 1.33                 0.81                0.43	TcIL3000.A.H_000592000.1  hypothetical protein, conserved
 2.67                 0.63                0.19	 1.33                 1.18                1.50	 1.33                 0.58                1.30	TcIL3000.A.H_000592100.1  hypothetical protein
 5.33                 1.00                1.25	 3.33                 1.67                3.50	 4.67                 1.13                2.33	TcIL3000.A.H_000592200.1  hypothetical protein, conserved
27.33                 0.94                1.95	27.33                 1.49                0.92	19.00                 0.87                1.15	TcIL3000.A.H_000592300.1  coronin, putative
 9.00                 1.03                1.21	 6.33                 1.00                1.24	 6.67                 1.00                0.88	TcIL3000.A.H_000592400.1  ribosomal protein S9/S16, putative
 2.00                 1.20                3.19	 0.67                 1.00                1.80	 1.67                 1.00                1.67	TcIL3000.A.H_000592500.1  Uncharacterised protein family UPF0546, putative
 3.33                 0.95                0.60	 3.67                 0.69                1.15	 3.33                 0.65                0.76	TcIL3000.A.H_000592600.1  S-adenosyl-methyltransferase mraW-like protein, putative
 3.33                 1.92                0.76	 2.00                 1.08                0.85	 7.00                 0.60                1.78	TcIL3000.A.H_000592700.1  NAD dependent deacetylase, putative
27.33                 1.44                1.28	28.33                 1.08                1.15	29.33                 1.19                1.57	TcIL3000.A.H_000592800.1  T-complex protein 1, gamma subunit, putative
 4.00                 1.62                0.50	 1.33                 1.10                0.60	 5.67                 1.20                2.14	TcIL3000.A.H_000592900.1  hypothetical protein, conserved
 6.67                 0.75                0.70	 7.33                 0.61                0.72	 6.33                 1.23                1.54	TcIL3000.A.H_000593000.1  hypothetical protein, conserved
12.67                 1.46                0.44	 9.67                 0.64                1.24	13.00                 1.15                1.34	TcIL3000.A.H_000593100.1  Protein of unknown function (DUF3250), putative
 3.33                 1.25                2.11	 3.00                 0.85                1.72	 2.33                 1.82                0.78	TcIL3000.A.H_000593200.1  hypothetical protein, conserved
12.33                 1.26                1.44	15.00                 1.15                1.35	18.00                 0.80                1.31	TcIL3000.A.H_000593300.1  Rapamycin-insensitive companion of mTOR, N-term/Rapamycin-insensitive companion of mTOR, middle domain/Rapamycin-insensitive companion of mTOR RasGEF_N domain containing protein, putative
 4.00                 1.06                1.82	 4.67                 1.43                2.17	 4.00                 0.70                2.09	TcIL3000.A.H_000593400.1  hypothetical protein, conserved
 6.67                 1.24                1.25	10.33                 1.25                0.62	10.67                 1.19                2.45	TcIL3000.A.H_000593500.1  exonuclease, putative
 5.33                 0.76                1.88	 4.00                 1.23                0.78	 5.33                 0.79                2.07	TcIL3000.A.H_000593600.1  hypothetical protein, conserved
 2.67                 1.62                1.20	 3.00                 0.63                0.88	 3.67                 1.33                1.13	TcIL3000.A.H_000593700.1  lathosterol oxidase, putative
 9.00                 0.73                0.91	20.00                 0.63                1.14	19.33                 0.74                1.13	TcIL3000.A.H_000593800.1  dynein heavy chain, putative
 0.67                 1.78                1.67	 2.00                 2.33                2.15	 1.00                 1.15                1.09	TcIL3000.A.H_000593900.1  YceI-like domain containing protein, putative
 4.33                 1.11                1.00	 3.33                 0.93                2.99	 3.00                 0.60                1.87	TcIL3000.A.H_000594000.1  hypothetical protein, conserved
 6.33                 2.00                0.94	 5.33                 0.57                0.65	 6.67                 0.79                1.05	TcIL3000.A.H_000594100.1  Beta-lactamase superfamily domain containing protein, putative
16.00                 1.12                1.15	16.33                 1.06                1.17	19.33                 0.64                1.47	TcIL3000.A.H_000594200.1  DNA polymerase zeta catalytic subunit, putative
 8.33                 1.07                0.61	15.33                 1.13                0.89	15.33                 0.89                1.38	TcIL3000.A.H_000594300.1  hypothetical protein, conserved
11.00                 0.58                0.77	10.33                 0.65                0.79	 3.67                 1.29                1.44	TcIL3000.A.H_000594400.1  Elongator-like Protein 3b
10.67                 0.97                1.08	 4.00                 0.90                1.26	 4.33                 0.78                1.12	TcIL3000.A.H_000594500.1  hypothetical protein, conserved
 2.67                 3.40                1.29	 0.67                 0.73                0.91	 2.67                 0.56                1.29	TcIL3000.A.H_000594600.1  mitochondrial carrier protein
 8.67                 0.96                1.14	13.00                 0.88                1.03	 9.67                 1.37                1.16	TcIL3000.A.H_000594700.1  DNA polymerase theta (helicase domain only), putative
 4.00                 1.15                0.53	 7.00                 1.17                1.59	 2.00                 1.40                1.23	TcIL3000.A.H_000594800.1  Ran-binding protein, putative
 4.67                 0.52                0.55	 4.67                 0.54                0.88	 3.00                 1.93                1.04	TcIL3000.A.H_000594900.1  electron transfer protein, putative
 2.67                 1.70                1.12	 0.33                 1.13                1.18	 2.33                 0.94                4.33	TcIL3000.A.H_000595000.1  palmitoyl acyltransferase 12, putative
 1.33                 1.37                0.47	 2.00                 0.72                0.69	 2.67                 0.65                1.72	TcIL3000.A.H_000595100.1  Inositol hexakisphosphate, putative
 3.33                 1.38                0.27	 5.00                 0.70                1.63	 3.33                 0.44                2.10	TcIL3000.A.H_000595200.1  hypothetical protein, conserved
 6.00                 0.94                0.41	 6.33                 0.88                0.73	 4.33                 1.19                1.05	TcIL3000.A.H_000595300.1  Meckel syndrome type 1 protein, putative
 3.67                 0.63                0.47	 0.33                 1.00                1.13	 3.33                 2.58                1.63	TcIL3000.A.H_000595400.1  hypothetical protein, conserved
 5.33                 2.14                1.00	 8.67                 0.81                0.75	 3.67                 0.69                2.23	TcIL3000.A.H_000595500.1  Ring finger domain containing protein, putative
 6.00                 1.25                0.56	 4.00                 0.56                0.92	 6.00                 1.06                3.00	TcIL3000.A.H_000595600.1  Vesicle transport v-SNARE protein N-terminus, putative
 4.00                 0.56                1.65	 9.67                 1.61                0.83	 7.00                 1.25                1.17	TcIL3000.A.H_000595700.1  BRCA1 C Terminus (BRCT) domain containing protein, putative
11.33                 0.83                0.79	 3.67                 0.71                1.12	 3.67                 1.14                1.72	TcIL3000.A.H_000595800.1  Gryzun, putative trafficking through Golgi, putative
 6.00                 1.63                1.17	 6.33                 2.50                1.61	 8.67                 1.33                1.70	TcIL3000.A.H_000595900.1  Dos2-interacting transcription regulator of RNA-Pol-II, putative
 2.00                 0.43                0.72	 2.33                 1.00                0.46	 2.00                 1.12                1.67	TcIL3000.A.H_000596000.1  thymidylate kinase, putative
15.33                 1.05                0.89	15.00                 1.03                1.61	14.33                 0.91                1.33	TcIL3000.A.H_000596100.1  hypothetical protein, conserved
115.67                 1.16                1.16	112.33                 1.07                1.22	103.33                 0.85                1.40	TcIL3000.A.H_000596200.1  glycerol-3-phosphate dehydrogenase [NAD+], glycosomal
122.33                 1.17                0.98	107.33                 0.86                1.11	110.67                 0.75                1.66	TcIL3000.A.H_000596300.1  glycerol-3-phosphate dehydrogenase [NAD+], glycosomal
